iter	Passed	Remaining
0	1	116
1	2	127
2	3	129
3	4	113
4	5	107
5	6	105
6	7	102
7	8	99
8	9	97
9	10	95
10	11	95
11	12	92
12	13	92
13	14	90
14	15	88
15	16	86
16	17	84
17	18	83
18	19	81
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	25	75
25	25	73
26	26	72
27	27	71
28	28	70
29	29	68
30	30	67
31	31	66
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	20
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	101	3
97	102	2
98	103	1
99	104	0
